Farm,Location,Crop type,Year,Yield
Home Farm 1,"Ailsa Craig, ON",Corn for grain,2013,178
Home Farm 2,"Ailsa Craig, ON",Soybeans,2013,46
Home Farm 3,"Ailsa Craig, ON",Wheat,2013,86
Home Farm 4,"Ailsa Craig, ON",White beans,2013,43
Home Farm 5,"Ailsa Craig, ON",Adzuki Beans,2013,0
Elevator North,"Ailsa Craig, ON",Barley,2013,45
Thames River West,"Ailsa Craig, ON",Buckwheat,2013,42
Thames River East,"Ailsa Craig, ON",Canola,2013,45
Van Daele Farm 1,"Ailsa Craig, ON",Corn for silage,2013,80000
Van Daele Farm 2,"Ailsa Craig, ON",Faba beans,2013,80
Nursing Home,"Ailsa Craig, ON",Flaxseed,2013,20
Niel Road,"Ailsa Craig, ON",Hemp,2013,20
Research Farm,"Ailsa Craig, ON",Lentils,2013,26
Turkey Barns 1,"Ailsa Craig, ON",Mustard seed,2013,15
Turkey Barns 2,"Ailsa Craig, ON",Oats,2013,100
New Ontario Rd,"Ailsa Craig, ON",Peas,2013,30
Vietch Farm,"Ailsa Craig, ON","Rye, all",2013,50
MacEwan,"Ailsa Craig, ON","Rye, fall remaining",2013,45
Gordon,"Ailsa Craig, ON","Rye, spring",2013,40
Jim,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2013,42
Marie,"Ailsa Craig, ON",Safflower,2013,40
Highway 1,"Ailsa Craig, ON",Soybeans,2013,46
Highway 2,"Ailsa Craig, ON",Sugar beets,2013,2900
Elevator South,"Ailsa Craig, ON",Sunflower seed,2013,170
Block Field,"Ailsa Craig, ON",Tame hay,2013,6600
Cemetery Field,"Ailsa Craig, ON",Triticale,2013,30
Nairn Road,"Ailsa Craig, ON","Wheat, all",2013,60
Dwight's,"Ailsa Craig, ON","Wheat, durum",2013,50
Fern Hill Rd,"Ailsa Craig, ON","Wheat, spring",2013,55
Co-op,"Ailsa Craig, ON","Wheat, winter",2013,85
Research Farm,"Ailsa Craig, ON",Corn for grain,2014,152
Turkey Barns 1,"Ailsa Craig, ON",Soybeans,2014,43
Turkey Barns 2,"Ailsa Craig, ON",Wheat,2014,84
New Ontario Rd,"Ailsa Craig, ON",White beans,2014,43
Vietch Farm,"Ailsa Craig, ON",Adzuki Beans,2014,0
MacEwan,"Ailsa Craig, ON",Barley,2014,41
Gordon,"Ailsa Craig, ON",Buckwheat,2014,40
Jim,"Ailsa Craig, ON",Canola,2014,49
Marie,"Ailsa Craig, ON",Corn for silage,2014,77703
Highway 1,"Ailsa Craig, ON",Faba beans,2014,80
Highway 2,"Ailsa Craig, ON",Flaxseed,2014,23
Elevator South,"Ailsa Craig, ON",Hemp,2014,17
Block Field,"Ailsa Craig, ON",Lentils,2014,22
Cemetery Field,"Ailsa Craig, ON",Mustard seed,2014,13
Nairn Road,"Ailsa Craig, ON",Oats,2014,97
Dwight's,"Ailsa Craig, ON",Peas,2014,32
Fern Hill Rd,"Ailsa Craig, ON","Rye, all",2014,55
Co-op,"Ailsa Craig, ON","Rye, fall remaining",2014,41
