Farm,Location,Crop type,Year,Yield
Fern Hill Rd,"Ailsa Craig, ON",Corn for grain,2018,210
Co-op,"Ailsa Craig, ON",Soybeans,2018,58
Home Farm 1,"Ailsa Craig, ON",Wheat,2018,91
Home Farm 2,"Ailsa Craig, ON",White beans,2018,44
Home Farm 3,"Ailsa Craig, ON",Adzuki Beans,2018,0
Home Farm 4,"Ailsa Craig, ON",Barley,2018,33
Home Farm 5,"Ailsa Craig, ON",Buckwheat,2018,29
Elevator North,"Ailsa Craig, ON",Canola,2018,47
Thames River West,"Ailsa Craig, ON",Corn for silage,2018,85553
Thames River East,"Ailsa Craig, ON",Faba beans,2018,102
Van Daele Farm 1,"Ailsa Craig, ON",Flaxseed,2018,13
Van Daele Farm 2,"Ailsa Craig, ON",Hemp,2018,17
Nursing Home,"Ailsa Craig, ON",Lentils,2018,38
Niel Road,"Ailsa Craig, ON",Mustard seed,2018,10
Research Farm,"Ailsa Craig, ON",Oats,2018,84
Turkey Barns 1,"Ailsa Craig, ON",Peas,2018,35
Turkey Barns 2,"Ailsa Craig, ON","Rye, all",2018,69
New Ontario Rd,"Ailsa Craig, ON","Rye, fall remaining",2018,43
Vietch Farm,"Ailsa Craig, ON","Rye, spring",2018,43
MacEwan,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2018,32
Gordon,"Ailsa Craig, ON",Safflower,2018,53
Jim,"Ailsa Craig, ON",Soybeans,2018,74
Marie,"Ailsa Craig, ON",Sugar beets,2018,2662
Highway 1,"Ailsa Craig, ON",Sunflower seed,2018,140
Highway 2,"Ailsa Craig, ON",Tame hay,2018,6128
Elevator South,"Ailsa Craig, ON",Triticale,2018,29
Block Field,"Ailsa Craig, ON","Wheat, all",2018,82
Cemetery Field,"Ailsa Craig, ON","Wheat, durum",2018,65
Nairn Road,"Ailsa Craig, ON","Wheat, spring",2018,62
Dwight's,"Ailsa Craig, ON","Wheat, winter",2018,58
Thames River East,"Ailsa Craig, ON",Corn for grain,2019,170
Van Daele Farm 1,"Ailsa Craig, ON",Soybeans,2019,57
Van Daele Farm 2,"Ailsa Craig, ON",Wheat,2019,76
Nursing Home,"Ailsa Craig, ON",White beans,2019,51
Niel Road,"Ailsa Craig, ON",Adzuki Beans,2019,36
Research Farm,"Ailsa Craig, ON",Barley,2019,29
Turkey Barns 1,"Ailsa Craig, ON",Buckwheat,2019,26
Turkey Barns 2,"Ailsa Craig, ON",Canola,2019,48
New Ontario Rd,"Ailsa Craig, ON",Corn for silage,2019,87567
Vietch Farm,"Ailsa Craig, ON",Faba beans,2019,94
MacEwan,"Ailsa Craig, ON",Flaxseed,2019,11
Gordon,"Ailsa Craig, ON",Hemp,2019,15
Jim,"Ailsa Craig, ON",Lentils,2019,36
Marie,"Ailsa Craig, ON",Mustard seed,2019,9
Highway 1,"Ailsa Craig, ON",Oats,2019,95
Highway 2,"Ailsa Craig, ON",Peas,2019,39
Elevator South,"Ailsa Craig, ON","Rye, all",2019,72
Block Field,"Ailsa Craig, ON","Rye, fall remaining",2019,44
Cemetery Field,"Ailsa Craig, ON","Rye, spring",2019,49
Nairn Road,"Ailsa Craig, ON","Rye, fall seeded in previous fall",2019,31
Dwight's,"Ailsa Craig, ON",Safflower,2019,46
Fern Hill Rd,"Ailsa Craig, ON",Soybeans,2019,68
Co-op,"Ailsa Craig, ON",Sugar beets,2019,2389
Home Farm 1,"Ailsa Craig, ON",Sunflower seed,2019,164
Home Farm 2,"Ailsa Craig, ON",Tame hay,2019,6074
Home Farm 3,"Ailsa Craig, ON",Triticale,2019,24
Home Farm 4,"Ailsa Craig, ON","Wheat, all",2019,76
Home Farm 5,"Ailsa Craig, ON","Wheat, durum",2019,74
Elevator North,"Ailsa Craig, ON","Wheat, spring",2019,64
Thames River West,"Ailsa Craig, ON","Wheat, winter",2019,63
